delivery_id,order_id,driver_id,vehicle_id,assigned_date,actual_delivery_date,status,delivery_attempt,distance_km,delivery_duration_min
DLV00000066,DLVORD00000238,DRV00048,VEH0002,2022-10-03,,Rescheduled,1,18.95,11
DLV00000067,DLVORD00002340,DRV00048,VEH0041,2023-09-12,2023-09-12,Delivered,1,2.29,24
DLV00000068,DLVORD00002548,DRV00077,VEH0042,2023-05-03,,Pending,1,7.82,72
DLV00000069,DLVORD00000148,DRV00027,VEH0023,2022-03-07,2022-03-08,Delivered,1,22.65,79
DLV00000070,DLVORD00000834,DRV00020,VEH0049,2023-12-12,2023-12-17,Delivered,1,14.8,65
DLV00000071,DLVORD00002515,DRV00035,VEH0038,2022-06-13,2022-06-13,Delivered,1,26.53,77
DLV00000072,DLVORD00002720,DRV00064,VEH0018,2023-05-30,2023-06-07,Delivered,1,16.94,22
DLV00000073,DLVORD00002516,DRV00030,VEH0035,2023-05-24,2023-05-26,Delivered,1,4.66,56
DLV00000074,DLVORD00000796,DRV00043,VEH0033,2024-12-12,2024-12-12,Delivered,1,13.56,8
DLV00000075,DLVORD00001255,DRV00052,VEH0038,2023-09-30,2023-09-30,Delivered,1,22.25,73
DLV00000076,DLVORD00002031,DRV00033,VEH0041,2023-08-02,2023-08-12,Delivered,1,9.62,13
DLV00000077,DLVORD00001196,DRV00047,VEH0012,2023-07-22,2023-07-22,Delivered,1,26.47,37
DLV00000078,DLVORD00000790,DRV00016,VEH0005,2022-12-26,2022-12-28,Delivered,1,9.38,17
DLV00000079,DLVORD00002913,DRV00014,VEH0038,2024-04-23,2024-04-25,Delivered,1,21.02,32
DLV00000080,DLVORD00002947,DRV00044,VEH0040,2024-07-31,2024-08-01,Delivered,1,13.01,52
DLV00000081,DLVORD00001181,DRV00026,VEH0014,2024-01-25,,Failed,1,21.7,69
DLV00000082,DLVORD00002311,DRV00019,VEH0019,2023-12-03,,Failed,1,24.9,26
DLV00000083,DLVORD00000725,DRV00031,VEH0042,2024-07-14,,Pending,1,15.83,26
DLV00000084,DLVORD00002601,DRV00023,VEH0047,2023-04-28,,Rescheduled,2,25.1,24
DLV00000085,DLVORD00000359,DRV00051,VEH0019,2024-10-07,,Failed,1,24.29,50
DLV00000086,DLVORD00000997,DRV00034,VEH0013,2023-07-04,,Failed,1,2.28,88
DLV00000087,DLVORD00000700,DRV00022,VEH0043,2023-10-17,,Rescheduled,1,11.95,79
DLV00000088,DLVORD00002022,DRV00026,VEH0049,2024-12-12,,Failed,2,7.08,77
DLV00000089,DLVORD00001891,DRV00055,VEH0026,2024-08-08,2024-08-15,Delivered,1,9.45,49
DLV00000090,DLVORD00002298,DRV00042,VEH0046,2022-10-03,2022-10-03,Delivered,1,12.18,29
DLV00000091,DLVORD00001346,DRV00026,VEH0035,2022-06-28,2022-06-29,Delivered,1,7.46,5
DLV00000092,DLVORD00001520,DRV00042,VEH0029,2024-08-03,,Pending,1,7.72,41
DLV00000093,DLVORD00002289,DRV00051,VEH0050,2022-02-24,,Pending,1,28.66,68
DLV00000094,DLVORD00000618,DRV00074,VEH0010,2022-06-21,2022-06-25,Delivered,1,14.26,7
DLV00000095,DLVORD00000208,DRV00043,VEH0036,2024-03-26,,Failed,1,16.6,35
DLV00000096,DLVORD00002097,DRV00005,VEH0029,2023-11-05,2023-11-11,Delivered,1,3.81,76
DLV00000097,DLVORD00002021,DRV00023,VEH0007,2023-01-13,,Pending,1,11.96,10
DLV00000098,DLVORD00002770,DRV00009,VEH0001,2022-12-08,2022-12-10,Delivered,1,15.78,75
DLV00000099,DLVORD00001624,DRV00031,VEH0040,2023-05-22,2023-05-22,Delivered,1,21.09,25
DLV00000100,DLVORD00000353,DRV00019,VEH0032,2023-10-21,2023-10-21,Delivered,1,6.13,27
DLV00000101,DLVORD00000060,DRV00069,VEH0046,2024-03-05,2024-03-05,Delivered,1,27.02,72
DLV00000102,DLVORD00002392,DRV00010,VEH0003,2023-03-06,,Rescheduled,1,8.34,77
DLV00000103,DLVORD00001224,DRV00039,VEH0044,2023-09-28,2023-09-28,Delivered,2,26.18,51
DLV00000104,DLVORD00001453,DRV00053,VEH0049,2023-07-21,2023-07-30,Delivered,1,12.14,21
DLV00000105,DLVORD00000616,DRV00040,VEH0045,2024-04-22,,Pending,1,5.99,90
DLV00000106,DLVORD00002258,DRV00009,VEH0037,2024-05-29,2024-05-29,Delivered,1,19.71,74
DLV00000107,DLVORD00001067,DRV00041,VEH0012,2023-01-10,2023-01-10,Delivered,1,5.0,42
DLV00000108,DLVORD00001499,DRV00075,VEH0010,2023-11-04,2023-11-04,Delivered,1,26.16,10
DLV00000109,DLVORD00002436,DRV00014,VEH0029,2023-02-08,2023-02-09,Delivered,1,23.7,17
DLV00000110,DLVORD00000203,DRV00011,VEH0011,2023-02-28,,Pending,1,22.38,68
DLV00000111,DLVORD00002924,DRV00016,VEH0035,2024-02-12,,Pending,1,27.62,77
DLV00000112,DLVORD00000901,DRV00034,VEH0037,2024-08-31,2024-09-01,Delivered,1,1.17,59
DLV00000113,DLVORD00002253,DRV00003,VEH0018,2023-06-18,2023-06-18,Delivered,1,2.23,78
DLV00000114,DLVORD00001458,DRV00050,VEH0004,2023-02-23,,Pending,1,21.8,77
DLV00000115,DLVORD00000966,DRV00034,VEH0027,2023-02-07,,Pending,1,11.83,59
DLV00000116,DLVORD00001510,DRV00011,VEH0050,2023-03-29,2023-03-29,Delivered,1,29.03,61
DLV00000117,DLVORD00001580,DRV00073,VEH0045,2022-08-24,2022-08-29,Delivered,1,21.97,76
DLV00000118,DLVORD00001819,DRV00071,VEH0036,2023-08-15,2023-08-15,Delivered,1,22.58,12
DLV00000119,DLVORD00002015,DRV00012,VEH0048,2022-03-25,2022-03-31,Delivered,1,19.66,44
DLV00000120,DLVORD00002665,DRV00036,VEH0043,2023-12-02,2023-12-11,Delivered,1,24.31,37
DLV00000121,DLVORD00001787,DRV00028,VEH0036,2023-03-10,,Failed,1,6.21,44
DLV00000122,DLVORD00002374,DRV00049,VEH0019,2022-12-05,2022-12-11,Delivered,1,26.84,64
DLV00000123,DLVORD00001846,DRV00077,VEH0012,2023-01-19,,Failed,1,28.79,12
DLV00000124,DLVORD00002059,DRV00021,VEH0043,2023-10-31,2023-11-02,Delivered,1,24.75,67
DLV00000125,DLVORD00002259,DRV00014,VEH0030,2024-02-05,2024-02-05,Delivered,2,11.1,19
DLV00000126,DLVORD00000950,DRV00011,VEH0018,2023-05-21,2023-05-21,Delivered,2,26.6,57
DLV00000127,DLVORD00002828,DRV00057,VEH0003,2023-09-15,2023-09-15,Delivered,1,24.3,64
DLV00000128,DLVORD00002953,DRV00041,VEH0049,2023-10-03,2023-10-03,Delivered,1,12.68,57
DLV00000129,DLVORD00002118,DRV00064,VEH0004,2023-10-30,2023-11-04,Delivered,1,13.7,44
DLV00000130,DLVORD00002870,DRV00029,VEH0026,2023-08-17,,Rescheduled,1,2.27,81
DLV00000131,DLVORD00000389,DRV00026,VEH0002,2024-06-30,,Pending,1,14.52,71
DLV00000132,DLVORD00000243,DRV00048,VEH0003,2022-12-06,2022-12-06,Delivered,1,27.11,17
DLV00000133,DLVORD00002875,DRV00015,VEH0006,2023-09-07,2023-09-17,Delivered,1,8.58,19
DLV00000134,DLVORD00002500,DRV00067,VEH0030,2024-07-08,2024-07-14,Delivered,1,13.48,48
DLV00000135,DLVORD00001751,DRV00073,VEH0035,2022-05-15,2022-05-15,Delivered,1,9.16,90
DLV00000136,DLVORD00002212,DRV00026,VEH0046,2022-03-05,2022-03-08,Delivered,1,13.63,67
DLV00000137,DLVORD00001547,DRV00004,VEH0017,2023-05-29,2023-05-29,Delivered,1,28.83,86
DLV00000138,DLVORD00001398,DRV00037,VEH0032,2023-01-13,2023-01-13,Delivered,1,28.24,79
DLV00000139,DLVORD00002520,DRV00055,VEH0019,2024-05-12,,Rescheduled,1,10.17,81
DLV00000140,DLVORD00002418,DRV00035,VEH0045,2023-05-02,2023-05-02,Delivered,1,19.77,58
DLV00000141,DLVORD00002660,DRV00021,VEH0005,2024-03-26,2024-03-28,Delivered,1,24.32,84
DLV00000142,DLVORD00002871,DRV00026,VEH0045,2023-05-13,2023-05-21,Delivered,1,18.13,33
DLV00000143,DLVORD00000462,DRV00013,VEH0045,2022-11-03,2022-11-03,Delivered,1,7.82,42
DLV00000144,DLVORD00001550,DRV00052,VEH0032,2023-03-06,,Rescheduled,1,14.48,74
DLV00000145,DLVORD00002222,DRV00039,VEH0046,2023-11-18,,Failed,1,5.76,56
DLV00000146,DLVORD00002641,DRV00049,VEH0037,2024-09-26,2024-10-01,Delivered,1,26.38,41
DLV00000147,DLVORD00002352,DRV00021,VEH0047,2024-07-16,2024-07-16,Delivered,1,23.38,19
DLV00000148,DLVORD00001513,DRV00038,VEH0025,2024-05-12,,Rescheduled,1,26.16,5
DLV00000149,DLVORD00002190,DRV00039,VEH0001,2022-12-21,2022-12-21,Delivered,2,14.26,84
DLV00000150,DLVORD00002668,DRV00020,VEH0028,2024-12-09,2024-12-09,Delivered,1,25.27,7
DLV00000151,DLVORD00002546,DRV00063,VEH0047,2024-01-19,2024-01-19,Delivered,1,6.68,78
DLV00000152,DLVORD00000054,DRV00039,VEH0029,2022-09-10,2022-09-14,Delivered,1,14.97,79
DLV00000153,DLVORD00000501,DRV00032,VEH0049,2024-12-18,2024-12-20,Delivered,1,19.55,73
DLV00000154,DLVORD00001664,DRV00070,VEH0012,2023-07-06,2023-07-20,Delivered,1,5.08,26
DLV00000155,DLVORD00000672,DRV00073,VEH0016,2024-06-27,2024-06-27,Delivered,1,25.42,55
DLV00000156,DLVORD00001324,DRV00016,VEH0032,2023-03-24,2023-03-25,Delivered,1,1.85,34
DLV00000157,DLVORD00001905,DRV00006,VEH0040,2024-07-15,2024-07-15,Delivered,1,25.98,43
DLV00000158,DLVORD00002627,DRV00036,VEH0049,2022-09-30,,Pending,1,20.11,32
DLV00000159,DLVORD00002967,DRV00036,VEH0009,2022-04-09,2022-04-09,Delivered,2,8.13,46
DLV00000160,DLVORD00002532,DRV00060,VEH0023,2023-02-12,,Rescheduled,1,6.17,15
DLV00000161,DLVORD00000961,DRV00050,VEH0004,2024-01-12,,Failed,2,5.56,88
DLV00000162,DLVORD00002848,DRV00050,VEH0038,2023-10-18,2023-10-26,Delivered,1,19.36,41
DLV00000163,DLVORD00002624,DRV00023,VEH0024,2024-07-31,,Failed,1,29.73,70
DLV00000164,DLVORD00002778,DRV00002,VEH0011,2023-03-04,,Rescheduled,1,25.72,65
DLV00000165,DLVORD00002304,DRV00065,VEH0027,2024-06-29,,Pending,2,5.38,26
DLV00000166,DLVORD00001281,DRV00068,VEH0012,2023-12-09,2023-12-10,Delivered,1,29.03,83
DLV00000167,DLVORD00002913,DRV00055,VEH0046,2024-04-23,2024-04-23,Delivered,1,6.4,71
DLV00000168,DLVORD00001759,DRV00051,VEH0008,2023-09-13,2023-09-19,Delivered,1,15.51,38
DLV00000169,DLVORD00000166,DRV00046,VEH0004,2023-02-18,2023-02-23,Delivered,1,5.76,41
DLV00000170,DLVORD00002909,DRV00060,VEH0028,2022-08-10,2022-08-10,Delivered,1,7.02,84
DLV00000171,DLVORD00002626,DRV00057,VEH0020,2023-09-13,2023-09-13,Delivered,1,29.92,18
DLV00000172,DLVORD00002832,DRV00064,VEH0031,2023-09-05,,Rescheduled,2,28.91,83
DLV00000173,DLVORD00001961,DRV00038,VEH0034,2023-06-27,2023-06-27,Delivered,1,29.91,75
DLV00000174,DLVORD00000349,DRV00012,VEH0003,2022-09-21,,Pending,1,1.36,71
DLV00000175,DLVORD00000918,DRV00055,VEH0011,2023-07-23,2023-07-24,Delivered,1,2.25,8
DLV00000176,DLVORD00002386,DRV00079,VEH0025,2024-06-23,2024-07-04,Delivered,1,17.39,16
DLV00000177,DLVORD00002424,DRV00015,VEH0044,2024-04-20,,Pending,1,9.22,49
DLV00000178,DLVORD00000843,DRV00054,VEH0040,2023-12-17,2023-12-17,Delivered,2,28.6,80
DLV00000179,DLVORD00001057,DRV00071,VEH0027,2023-11-29,2023-12-08,Delivered,1,14.49,39
DLV00000180,DLVORD00000171,DRV00022,VEH0012,2024-07-29,2024-07-29,Delivered,1,2.64,28
DLV00000181,DLVORD00001584,DRV00034,VEH0010,2023-06-11,2023-06-16,Delivered,1,16.5,39
DLV00000182,DLVORD00000975,DRV00026,VEH0004,2022-03-05,2022-03-05,Delivered,1,8.23,67
DLV00000183,DLVORD00001024,DRV00049,VEH0008,2023-09-02,2023-09-03,Delivered,1,22.98,55
DLV00000184,DLVORD00002253,DRV00053,VEH0038,2023-06-19,2023-06-19,Delivered,1,18.64,28
DLV00000185,DLVORD00002846,DRV00067,VEH0005,2024-08-25,2024-08-25,Delivered,1,12.06,9
DLV00000186,DLVORD00002241,DRV00075,VEH0039,2023-10-25,2023-10-26,Delivered,2,12.96,82
DLV00000187,DLVORD00000209,DRV00031,VEH0027,2023-09-10,2023-09-13,Delivered,1,8.46,7
DLV00000188,DLVORD00000179,DRV00038,VEH0011,2024-10-12,,Pending,1,14.35,59
DLV00000189,DLVORD00000880,DRV00023,VEH0014,2022-03-05,2022-03-05,Delivered,3,13.45,78
DLV00000190,DLVORD00001988,DRV00008,VEH0043,2024-01-11,,Failed,1,21.85,45
DLV00000191,DLVORD00002770,DRV00030,VEH0017,2022-12-09,2022-12-09,Delivered,1,16.38,37
DLV00000192,DLVORD00002365,DRV00067,VEH0027,2024-02-22,,Rescheduled,1,20.76,29
DLV00000193,DLVORD00002488,DRV00021,VEH0033,2023-04-11,2023-04-11,Delivered,1,19.59,23
DLV00000194,DLVORD00002704,DRV00063,VEH0028,2023-07-18,,Failed,1,29.85,50
DLV00000195,DLVORD00000846,DRV00048,VEH0027,2023-12-10,,Pending,1,1.91,74
DLV00000196,DLVORD00001757,DRV00077,VEH0046,2024-02-17,2024-02-26,Delivered,1,18.69,24
DLV00000197,DLVORD00000696,DRV00018,VEH0009,2024-01-24,2024-02-03,Delivered,1,29.28,87
DLV00000198,DLVORD00000986,DRV00028,VEH0033,2024-06-04,,Failed,1,2.08,15
DLV00000199,DLVORD00002031,DRV00073,VEH0045,2023-08-04,2023-08-10,Delivered,1,28.97,44
DLV00000200,DLVORD00000116,DRV00038,VEH0040,2024-11-10,,Rescheduled,1,21.15,21
DLV00000201,DLVORD00001318,DRV00077,VEH0018,2022-12-24,2023-01-04,Delivered,1,25.47,63
DLV00000202,DLVORD00000466,DRV00016,VEH0039,2022-10-17,2022-10-17,Delivered,1,10.65,84
DLV00000203,DLVORD00001155,DRV00007,VEH0022,2024-05-21,2024-05-29,Delivered,1,6.84,43
DLV00000204,DLVORD00000009,DRV00036,VEH0017,2024-03-13,2024-03-14,Delivered,1,14.96,17
DLV00000205,DLVORD00000400,DRV00075,VEH0019,2024-07-03,,Failed,1,29.64,19
DLV00000206,DLVORD00002174,DRV00008,VEH0041,2024-12-04,2024-12-04,Delivered,2,6.44,35
DLV00000207,DLVORD00002020,DRV00029,VEH0019,2024-03-05,2024-03-05,Delivered,1,26.46,67
DLV00000208,DLVORD00001072,DRV00012,VEH0024,2022-08-17,2022-08-17,Delivered,1,18.86,17
DLV00000209,DLVORD00002609,DRV00051,VEH0037,2022-12-31,,Failed,1,19.64,51
DLV00000210,DLVORD00001077,DRV00022,VEH0007,2024-10-04,2024-10-05,Delivered,1,2.72,20
DLV00000211,DLVORD00002527,DRV00029,VEH0046,2023-05-31,2023-06-02,Delivered,1,3.89,18
DLV00000212,DLVORD00001967,DRV00069,VEH0043,2023-08-20,,Pending,1,28.19,43
DLV00000213,DLVORD00002761,DRV00035,VEH0026,2023-02-03,2023-02-08,Delivered,1,13.56,52
DLV00000214,DLVORD00000427,DRV00018,VEH0021,2023-07-17,2023-07-26,Delivered,1,20.25,81
DLV00000215,DLVORD00001698,DRV00071,VEH0029,2023-10-24,2023-10-25,Delivered,1,25.69,38
DLV00000216,DLVORD00001832,DRV00046,VEH0041,2023-11-02,,Pending,1,29.84,76
DLV00000217,DLVORD00002009,DRV00021,VEH0014,2024-12-13,,Pending,1,28.37,64
DLV00000218,DLVORD00000326,DRV00011,VEH0006,2024-08-06,2024-08-11,Delivered,1,5.03,9
DLV00000219,DLVORD00000634,DRV00030,VEH0036,2022-07-24,,Failed,1,15.48,41
DLV00000220,DLVORD00002550,DRV00056,VEH0029,2024-02-22,2024-02-24,Delivered,1,13.03,65
DLV00000221,DLVORD00001220,DRV00029,VEH0031,2022-11-02,,Pending,1,17.46,12
DLV00000222,DLVORD00002623,DRV00048,VEH0042,2023-11-06,2023-11-11,Delivered,1,16.28,18
DLV00000223,DLVORD00000825,DRV00030,VEH0045,2022-02-18,,Rescheduled,1,18.82,55
DLV00000224,DLVORD00002005,DRV00025,VEH0046,2024-01-18,2024-01-24,Delivered,1,15.77,90
DLV00000225,DLVORD00002905,DRV00071,VEH0027,2022-05-04,,Rescheduled,1,2.2,11
DLV00000226,DLVORD00000516,DRV00057,VEH0005,2024-05-15,2024-05-16,Delivered,1,27.5,38
DLV00000227,DLVORD00001517,DRV00073,VEH0015,2022-09-16,2022-09-19,Delivered,1,17.42,70
DLV00000228,DLVORD00000066,DRV00036,VEH0032,2023-09-19,,Pending,1,25.37,21
DLV00000229,DLVORD00000616,DRV00016,VEH0020,2024-04-22,,Pending,1,11.83,41
DLV00000230,DLVORD00002601,DRV00038,VEH0004,2023-04-26,,Pending,1,14.05,45
DLV00000231,DLVORD00001305,DRV00057,VEH0004,2022-10-06,2022-10-09,Delivered,1,16.69,63
DLV00000232,DLVORD00001675,DRV00066,VEH0013,2024-01-26,2024-01-26,Delivered,1,29.55,27
DLV00000233,DLVORD00000575,DRV00057,VEH0041,2024-08-15,2024-08-18,Delivered,1,18.63,32
DLV00000234,DLVORD00000554,DRV00016,VEH0040,2023-08-28,,Failed,1,26.74,32
DLV00000235,DLVORD00002561,DRV00080,VEH0029,2022-10-11,,Failed,1,14.46,37
DLV00000236,DLVORD00000064,DRV00046,VEH0007,2022-11-21,,Pending,1,12.13,9
DLV00000237,DLVORD00000803,DRV00029,VEH0018,2024-05-17,,Pending,1,4.73,10
DLV00000238,DLVORD00001722,DRV00079,VEH0017,2023-01-13,,Rescheduled,1,16.3,83
DLV00000239,DLVORD00001948,DRV00037,VEH0016,2024-03-19,,Failed,1,27.02,30
DLV00000240,DLVORD00002501,DRV00018,VEH0021,2024-04-30,,Rescheduled,1,27.84,5
DLV00000241,DLVORD00000952,DRV00015,VEH0009,2023-09-28,2023-09-28,Delivered,1,2.31,41
DLV00000242,DLVORD00000752,DRV00038,VEH0020,2024-03-17,2024-03-19,Delivered,1,7.08,32
DLV00000243,DLVORD00002619,DRV00060,VEH0002,2023-03-28,2023-03-31,Delivered,1,18.88,49
DLV00000244,DLVORD00002462,DRV00077,VEH0030,2023-09-27,,Pending,1,5.72,44
DLV00000245,DLVORD00001340,DRV00044,VEH0012,2023-11-12,2023-11-12,Delivered,1,15.76,52
DLV00000246,DLVORD00001981,DRV00043,VEH0040,2023-02-20,2023-02-21,Delivered,1,21.29,88
DLV00000247,DLVORD00001382,DRV00055,VEH0035,2022-03-07,2022-03-07,Delivered,1,24.88,16
DLV00000248,DLVORD00002689,DRV00079,VEH0020,2023-08-21,2023-08-21,Delivered,1,23.92,5
DLV00000249,DLVORD00001165,DRV00005,VEH0008,2022-02-16,2022-02-16,Delivered,1,15.91,50
DLV00000250,DLVORD00002071,DRV00077,VEH0047,2023-07-06,2023-07-07,Delivered,1,16.88,11
DLV00000251,DLVORD00002307,DRV00078,VEH0014,2024-09-03,2024-09-04,Delivered,1,7.68,57
DLV00000252,DLVORD00001848,DRV00035,VEH0018,2023-10-27,2023-10-27,Delivered,1,20.18,45
DLV00000253,DLVORD00002712,DRV00032,VEH0048,2024-09-04,2024-09-16,Delivered,1,16.06,66
DLV00000254,DLVORD00002905,DRV00048,VEH0021,2022-05-04,2022-05-04,Delivered,1,15.25,83
DLV00000255,DLVORD00001990,DRV00001,VEH0046,2023-12-23,2023-12-23,Delivered,1,26.82,59
DLV00000256,DLVORD00001579,DRV00020,VEH0032,2022-11-17,,Pending,1,17.35,59
DLV00000257,DLVORD00001522,DRV00011,VEH0041,2023-02-07,2023-02-07,Delivered,1,5.61,57
DLV00000258,DLVORD00002810,DRV00073,VEH0035,2024-02-06,2024-02-06,Delivered,1,13.42,8
DLV00000259,DLVORD00000161,DRV00019,VEH0006,2022-12-19,,Rescheduled,1,18.68,10
DLV00000260,DLVORD00002279,DRV00052,VEH0012,2023-08-23,2023-08-23,Delivered,1,5.13,57
DLV00000261,DLVORD00002348,DRV00075,VEH0036,2022-12-28,2022-12-28,Delivered,1,26.07,38
