order_id,customer_id,order_date,delivery_zone_id,package_weight_kg,service_type,priority,total_value
DLVORD00000089,DLVCUST0000182,2022-02-26,ZONE0020,26.0,Standard,High,2289.87
DLVORD00000090,DLVCUST0000396,2023-12-26,ZONE0003,8.58,Same Day,Normal,2422.81
DLVORD00000091,DLVCUST0000158,2023-12-05,ZONE0009,39.45,Express,Urgent,2244.63
DLVORD00000092,DLVCUST0000211,2023-02-15,ZONE0014,1.93,Economy,High,4909.71
DLVORD00000093,DLVCUST0000216,2023-08-09,ZONE0002,48.53,Standard,Normal,1816.52
DLVORD00000094,DLVCUST0000293,2023-11-01,ZONE0008,38.37,Same Day,Urgent,3261.28
DLVORD00000095,DLVCUST0000077,2024-01-30,ZONE0010,13.01,Express,High,1524.8
DLVORD00000096,DLVCUST0000157,2023-08-02,ZONE0013,38.44,Standard,Urgent,4543.96
DLVORD00000097,DLVCUST0000201,2024-07-10,ZONE0010,49.26,Same Day,Urgent,813.87
DLVORD00000098,DLVCUST0000277,2022-06-07,ZONE0004,21.62,Next Day,Urgent,4753.63
DLVORD00000099,DLVCUST0000182,2024-09-17,ZONE0020,23.13,Next Day,Urgent,386.52
DLVORD00000100,DLVCUST0000364,2023-05-29,ZONE0008,15.16,Same Day,High,1189.81
DLVORD00000101,DLVCUST0000052,2024-05-06,ZONE0013,21.35,Next Day,Normal,78.4
DLVORD00000102,DLVCUST0000052,2023-01-25,ZONE0013,7.41,Standard,High,1345.62
DLVORD00000103,DLVCUST0000391,2023-10-03,ZONE0010,36.46,Express,Normal,772.2
DLVORD00000104,DLVCUST0000300,2022-12-28,ZONE0003,8.8,Standard,Urgent,2505.85
DLVORD00000105,DLVCUST0000015,2024-02-21,ZONE0010,7.89,Next Day,High,137.69
DLVORD00000106,DLVCUST0000357,2024-10-01,ZONE0001,46.53,Standard,Normal,2322.98
DLVORD00000107,DLVCUST0000129,2024-07-16,ZONE0013,26.35,Express,Normal,3171.18
DLVORD00000108,DLVCUST0000021,2023-07-12,ZONE0019,31.56,Express,Urgent,2088.56
DLVORD00000109,DLVCUST0000314,2024-08-22,ZONE0014,22.48,Standard,Normal,4885.63
DLVORD00000110,DLVCUST0000207,2023-03-20,ZONE0013,47.34,Standard,Urgent,594.64
DLVORD00000111,DLVCUST0000244,2023-05-18,ZONE0009,19.75,Economy,Urgent,3549.69
DLVORD00000112,DLVCUST0000182,2023-03-03,ZONE0020,25.79,Standard,Urgent,2677.78
DLVORD00000113,DLVCUST0000310,2024-02-20,ZONE0016,47.74,Economy,High,4322.18
DLVORD00000114,DLVCUST0000270,2023-09-03,ZONE0013,33.92,Express,High,2915.35
DLVORD00000115,DLVCUST0000025,2024-10-11,ZONE0005,22.44,Express,Urgent,4315.21
DLVORD00000116,DLVCUST0000177,2024-11-09,ZONE0005,11.4,Same Day,Normal,1001.53
DLVORD00000117,DLVCUST0000399,2023-02-21,ZONE0011,12.04,Standard,High,1267.35
DLVORD00000118,DLVCUST0000364,2024-11-04,ZONE0008,8.2,Next Day,Urgent,1787.77
DLVORD00000119,DLVCUST0000164,2023-06-03,ZONE0006,22.23,Standard,Urgent,4385.21
DLVORD00000120,DLVCUST0000392,2022-01-12,ZONE0014,36.87,Express,Urgent,4120.22
DLVORD00000121,DLVCUST0000226,2023-12-12,ZONE0002,43.76,Economy,Urgent,2209.66
DLVORD00000122,DLVCUST0000279,2024-02-28,ZONE0010,14.74,Next Day,Urgent,3813.77
DLVORD00000123,DLVCUST0000031,2023-09-25,ZONE0004,20.27,Economy,High,3290.25
DLVORD00000124,DLVCUST0000195,2023-01-02,ZONE0010,33.51,Economy,Normal,2420.22
DLVORD00000125,DLVCUST0000024,2023-12-18,ZONE0019,5.14,Standard,High,2228.89
DLVORD00000126,DLVCUST0000326,2023-03-03,ZONE0014,9.08,Economy,Normal,4715.26
DLVORD00000127,DLVCUST0000079,2024-03-28,ZONE0012,40.5,Express,Urgent,4341.46
DLVORD00000128,DLVCUST0000044,2022-05-10,ZONE0015,22.24,Economy,High,4046.79
DLVORD00000129,DLVCUST0000285,2024-12-02,ZONE0020,2.31,Next Day,Urgent,3913.3
DLVORD00000130,DLVCUST0000007,2024-02-08,ZONE0020,28.59,Express,Normal,844.26
DLVORD00000131,DLVCUST0000171,2022-07-15,ZONE0015,17.46,Same Day,High,1892.4
DLVORD00000132,DLVCUST0000125,2023-10-31,ZONE0012,23.94,Same Day,High,1036.44
DLVORD00000133,DLVCUST0000146,2024-11-16,ZONE0018,25.14,Economy,Normal,411.12
DLVORD00000134,DLVCUST0000017,2023-09-04,ZONE0008,17.1,Standard,Normal,2252.48
DLVORD00000135,DLVCUST0000238,2023-04-08,ZONE0005,11.59,Next Day,Urgent,2595.28
DLVORD00000136,DLVCUST0000306,2024-06-27,ZONE0004,22.99,Same Day,Normal,1878.58
DLVORD00000137,DLVCUST0000112,2022-01-31,ZONE0010,14.42,Standard,Urgent,2456.5
DLVORD00000138,DLVCUST0000361,2022-01-03,ZONE0016,2.05,Economy,Urgent,2410.15
DLVORD00000139,DLVCUST0000054,2022-07-27,ZONE0014,3.48,Standard,High,811.58
DLVORD00000140,DLVCUST0000231,2022-12-23,ZONE0016,33.56,Economy,High,766.67
DLVORD00000141,DLVCUST0000292,2023-07-01,ZONE0016,6.95,Express,High,4579.81
DLVORD00000142,DLVCUST0000207,2022-10-21,ZONE0013,25.13,Standard,Urgent,4374.32
DLVORD00000143,DLVCUST0000142,2024-03-11,ZONE0002,15.62,Next Day,High,2987.01
DLVORD00000144,DLVCUST0000323,2022-01-13,ZONE0007,19.45,Express,Normal,3298.57
DLVORD00000145,DLVCUST0000165,2023-12-20,ZONE0014,9.36,Standard,Urgent,282.26
DLVORD00000146,DLVCUST0000254,2024-09-02,ZONE0002,26.26,Express,Urgent,3606.49
DLVORD00000147,DLVCUST0000202,2024-05-05,ZONE0018,12.69,Same Day,High,1190.9
DLVORD00000148,DLVCUST0000120,2022-03-05,ZONE0001,16.58,Standard,Urgent,3836.44
DLVORD00000149,DLVCUST0000278,2023-06-14,ZONE0010,49.64,Economy,Urgent,1265.01
DLVORD00000150,DLVCUST0000035,2024-08-22,ZONE0004,29.99,Same Day,High,2289.6
DLVORD00000151,DLVCUST0000264,2022-02-28,ZONE0005,29.49,Economy,Urgent,609.88
DLVORD00000152,DLVCUST0000340,2024-07-13,ZONE0004,9.13,Same Day,High,4345.94
DLVORD00000153,DLVCUST0000256,2023-12-25,ZONE0010,7.29,Express,High,832.55
DLVORD00000154,DLVCUST0000135,2024-11-20,ZONE0018,35.7,Standard,Urgent,254.42
DLVORD00000155,DLVCUST0000171,2022-12-04,ZONE0015,27.64,Standard,Normal,1196.04
DLVORD00000156,DLVCUST0000260,2024-12-09,ZONE0004,8.37,Economy,Normal,4854.73
DLVORD00000157,DLVCUST0000343,2022-08-04,ZONE0013,20.39,Next Day,Normal,1230.46
DLVORD00000158,DLVCUST0000139,2024-08-09,ZONE0002,10.64,Next Day,Normal,2435.36
DLVORD00000159,DLVCUST0000177,2024-12-09,ZONE0005,29.72,Standard,High,3329.37
DLVORD00000160,DLVCUST0000030,2023-02-25,ZONE0018,34.83,Next Day,Urgent,460.51
DLVORD00000161,DLVCUST0000074,2022-12-18,ZONE0001,22.59,Next Day,Normal,127.67
DLVORD00000162,DLVCUST0000308,2024-02-13,ZONE0008,35.85,Next Day,Normal,2935.53
DLVORD00000163,DLVCUST0000280,2024-08-23,ZONE0018,32.1,Standard,Normal,2564.62
DLVORD00000164,DLVCUST0000308,2023-04-10,ZONE0008,3.79,Next Day,Urgent,4848.29
DLVORD00000165,DLVCUST0000063,2022-12-24,ZONE0014,6.69,Express,Urgent,1112.91
DLVORD00000166,DLVCUST0000174,2023-02-17,ZONE0006,6.09,Economy,Normal,591.33
DLVORD00000167,DLVCUST0000276,2023-02-19,ZONE0003,45.54,Same Day,Normal,3402.57
DLVORD00000168,DLVCUST0000019,2022-05-18,ZONE0008,13.07,Standard,High,517.11
DLVORD00000169,DLVCUST0000117,2024-12-29,ZONE0015,17.02,Express,High,3295.69
DLVORD00000170,DLVCUST0000062,2023-07-02,ZONE0001,31.45,Standard,Urgent,1126.25
DLVORD00000171,DLVCUST0000135,2024-07-28,ZONE0018,14.2,Next Day,Normal,2185.59
DLVORD00000172,DLVCUST0000239,2023-04-25,ZONE0017,35.18,Next Day,Urgent,346.08
DLVORD00000173,DLVCUST0000084,2024-01-07,ZONE0015,20.05,Economy,Normal,4941.54
DLVORD00000174,DLVCUST0000342,2024-05-09,ZONE0001,43.73,Same Day,Normal,904.23
DLVORD00000175,DLVCUST0000307,2023-05-09,ZONE0006,12.24,Next Day,Urgent,3987.62
DLVORD00000176,DLVCUST0000209,2023-09-11,ZONE0013,11.71,Express,Normal,939.89
DLVORD00000177,DLVCUST0000213,2023-04-14,ZONE0011,2.73,Standard,High,1181.74
DLVORD00000178,DLVCUST0000395,2024-12-26,ZONE0009,4.69,Next Day,Urgent,2182.22
DLVORD00000179,DLVCUST0000351,2024-10-12,ZONE0009,19.38,Economy,Normal,3638.56
DLVORD00000180,DLVCUST0000265,2023-01-24,ZONE0010,0.83,Same Day,Urgent,2403.58
DLVORD00000181,DLVCUST0000246,2024-10-03,ZONE0020,49.03,Standard,Normal,747.3
DLVORD00000182,DLVCUST0000117,2023-05-29,ZONE0015,17.66,Next Day,High,4972.21
DLVORD00000183,DLVCUST0000288,2024-05-26,ZONE0016,23.87,Next Day,High,742.99
DLVORD00000184,DLVCUST0000103,2024-04-12,ZONE0003,28.45,Same Day,Urgent,4726.77
DLVORD00000185,DLVCUST0000041,2023-02-19,ZONE0008,45.28,Economy,High,1847.43
DLVORD00000186,DLVCUST0000337,2022-02-11,ZONE0004,43.05,Next Day,High,462.64
DLVORD00000187,DLVCUST0000280,2023-12-13,ZONE0018,3.9,Economy,Urgent,3783.26
DLVORD00000188,DLVCUST0000361,2023-01-21,ZONE0016,42.32,Standard,High,737.22
DLVORD00000189,DLVCUST0000105,2024-12-20,ZONE0009,12.46,Economy,Normal,2042.31
DLVORD00000190,DLVCUST0000168,2023-02-14,ZONE0018,16.18,Standard,Urgent,929.15
DLVORD00000191,DLVCUST0000236,2023-06-22,ZONE0016,36.87,Economy,High,3346.96
DLVORD00000192,DLVCUST0000332,2024-09-10,ZONE0016,18.95,Same Day,High,553.79
DLVORD00000193,DLVCUST0000065,2023-06-25,ZONE0002,17.34,Standard,Normal,2190.25
DLVORD00000194,DLVCUST0000077,2024-08-11,ZONE0010,18.11,Standard,Normal,1344.71
DLVORD00000195,DLVCUST0000138,2024-07-13,ZONE0005,37.48,Express,High,4298.81
DLVORD00000196,DLVCUST0000196,2023-04-27,ZONE0001,23.74,Economy,High,2708.73
DLVORD00000197,DLVCUST0000259,2024-05-24,ZONE0019,12.05,Same Day,Normal,4469.24
DLVORD00000198,DLVCUST0000284,2023-08-31,ZONE0011,0.54,Express,High,2429.12
DLVORD00000199,DLVCUST0000295,2022-05-02,ZONE0004,22.96,Same Day,Urgent,2126.89
DLVORD00000200,DLVCUST0000181,2024-07-21,ZONE0005,24.7,Standard,High,1759.45
DLVORD00000201,DLVCUST0000051,2024-05-25,ZONE0016,0.95,Economy,High,4472.88
DLVORD00000202,DLVCUST0000085,2024-08-18,ZONE0010,12.77,Express,Normal,327.93
DLVORD00000203,DLVCUST0000323,2023-02-28,ZONE0007,7.08,Next Day,Normal,3263.19
DLVORD00000204,DLVCUST0000249,2024-09-01,ZONE0016,8.8,Next Day,Urgent,2449.52
DLVORD00000205,DLVCUST0000075,2023-01-24,ZONE0004,36.11,Express,Normal,2330.66
DLVORD00000206,DLVCUST0000099,2024-04-12,ZONE0002,32.62,Standard,Normal,2800.68
DLVORD00000207,DLVCUST0000052,2024-07-06,ZONE0013,22.13,Standard,Urgent,4548.67
DLVORD00000208,DLVCUST0000307,2024-03-26,ZONE0006,1.46,Economy,Urgent,499.15
DLVORD00000209,DLVCUST0000397,2023-09-10,ZONE0016,41.18,Standard,Urgent,2912.61
DLVORD00000210,DLVCUST0000242,2024-02-16,ZONE0013,49.95,Standard,High,2058.53
DLVORD00000211,DLVCUST0000348,2023-12-06,ZONE0008,19.17,Economy,Normal,1702.56
DLVORD00000212,DLVCUST0000140,2024-11-27,ZONE0006,39.44,Standard,Urgent,4875.03
DLVORD00000213,DLVCUST0000211,2022-08-13,ZONE0014,12.6,Next Day,Normal,128.41
DLVORD00000214,DLVCUST0000221,2024-12-15,ZONE0020,3.61,Next Day,Urgent,4051.3
DLVORD00000215,DLVCUST0000273,2023-06-27,ZONE0006,45.95,Standard,High,1846.09
DLVORD00000216,DLVCUST0000273,2023-07-21,ZONE0006,46.92,Next Day,High,1739.51
DLVORD00000217,DLVCUST0000254,2023-02-07,ZONE0002,49.42,Next Day,Urgent,210.72
DLVORD00000218,DLVCUST0000161,2024-07-14,ZONE0009,20.86,Economy,Normal,4423.81
DLVORD00000219,DLVCUST0000161,2023-12-28,ZONE0009,3.68,Economy,Urgent,160.63
DLVORD00000220,DLVCUST0000155,2024-03-19,ZONE0015,14.19,Economy,Urgent,4789.17
DLVORD00000221,DLVCUST0000345,2022-05-05,ZONE0008,11.79,Express,Urgent,4143.03
DLVORD00000222,DLVCUST0000150,2024-07-02,ZONE0013,11.34,Next Day,Normal,961.71
DLVORD00000223,DLVCUST0000221,2023-11-12,ZONE0020,30.8,Economy,Normal,520.15
DLVORD00000224,DLVCUST0000069,2023-06-12,ZONE0018,29.64,Standard,Normal,2362.77
DLVORD00000225,DLVCUST0000054,2023-01-21,ZONE0014,6.12,Standard,Urgent,4121.81
DLVORD00000226,DLVCUST0000313,2023-10-23,ZONE0009,12.46,Standard,Urgent,2606.54
DLVORD00000227,DLVCUST0000270,2022-09-18,ZONE0013,16.5,Express,Normal,258.08
DLVORD00000228,DLVCUST0000367,2024-03-06,ZONE0003,15.62,Next Day,High,918.6
DLVORD00000229,DLVCUST0000094,2024-06-14,ZONE0006,49.83,Standard,Normal,4033.06
DLVORD00000230,DLVCUST0000208,2023-06-08,ZONE0009,39.1,Standard,Urgent,110.3
DLVORD00000231,DLVCUST0000182,2023-08-01,ZONE0020,40.59,Standard,High,3938.52
DLVORD00000232,DLVCUST0000034,2024-09-02,ZONE0004,16.22,Standard,Urgent,211.16
DLVORD00000233,DLVCUST0000035,2024-07-22,ZONE0004,13.8,Economy,High,4063.23
DLVORD00000234,DLVCUST0000352,2023-05-26,ZONE0005,36.11,Standard,High,3119.31
DLVORD00000235,DLVCUST0000272,2024-11-22,ZONE0013,43.01,Express,Normal,1261.89
DLVORD00000236,DLVCUST0000165,2024-05-05,ZONE0014,39.05,Standard,Normal,4957.21
DLVORD00000237,DLVCUST0000347,2024-04-02,ZONE0015,41.93,Same Day,Urgent,4334.49
DLVORD00000238,DLVCUST0000265,2022-10-02,ZONE0010,33.57,Express,High,3967.48
DLVORD00000239,DLVCUST0000393,2024-03-05,ZONE0017,20.38,Standard,Normal,3914.86
DLVORD00000240,DLVCUST0000386,2023-07-01,ZONE0014,49.95,Same Day,Normal,3131.27
DLVORD00000241,DLVCUST0000364,2024-01-07,ZONE0008,0.77,Standard,High,2614.42
DLVORD00000242,DLVCUST0000242,2022-05-10,ZONE0013,5.77,Economy,Urgent,2908.94
DLVORD00000243,DLVCUST0000172,2022-12-04,ZONE0020,1.2,Same Day,Normal,1644.75
DLVORD00000244,DLVCUST0000177,2024-01-21,ZONE0005,20.57,Same Day,Normal,710.41
DLVORD00000245,DLVCUST0000181,2022-04-27,ZONE0005,5.12,Next Day,Normal,1070.06
DLVORD00000246,DLVCUST0000057,2022-06-06,ZONE0017,32.71,Express,Normal,4970.05
DLVORD00000247,DLVCUST0000361,2022-07-08,ZONE0016,49.0,Standard,Normal,2228.21
DLVORD00000248,DLVCUST0000344,2022-05-15,ZONE0002,29.13,Economy,Normal,3088.45
DLVORD00000249,DLVCUST0000064,2024-09-21,ZONE0003,23.63,Economy,Normal,2106.3
DLVORD00000250,DLVCUST0000178,2023-08-07,ZONE0012,15.57,Same Day,Urgent,3390.81
DLVORD00000251,DLVCUST0000115,2023-12-29,ZONE0001,44.18,Economy,High,644.4
DLVORD00000252,DLVCUST0000196,2024-01-15,ZONE0001,14.84,Express,Normal,3039.54
DLVORD00000253,DLVCUST0000194,2024-09-08,ZONE0001,11.43,Standard,High,3268.69
DLVORD00000254,DLVCUST0000320,2023-04-18,ZONE0007,44.11,Economy,Urgent,4545.59
DLVORD00000255,DLVCUST0000196,2024-11-26,ZONE0001,42.75,Same Day,Normal,2202.38
DLVORD00000256,DLVCUST0000056,2023-08-07,ZONE0004,34.57,Express,Normal,181.13
DLVORD00000257,DLVCUST0000336,2022-01-08,ZONE0002,20.93,Next Day,High,1190.62
DLVORD00000258,DLVCUST0000115,2024-04-26,ZONE0001,18.55,Same Day,Urgent,4523.28
DLVORD00000259,DLVCUST0000104,2023-04-09,ZONE0001,14.41,Express,Normal,4813.03
DLVORD00000260,DLVCUST0000302,2022-07-07,ZONE0003,23.54,Economy,High,2036.26
DLVORD00000261,DLVCUST0000226,2023-08-05,ZONE0002,41.34,Express,High,4584.84
DLVORD00000262,DLVCUST0000309,2022-08-20,ZONE0013,23.18,Standard,High,2196.81
DLVORD00000263,DLVCUST0000330,2024-05-09,ZONE0006,8.03,Economy,High,285.28
DLVORD00000264,DLVCUST0000121,2024-05-03,ZONE0015,8.33,Standard,Normal,1705.27
DLVORD00000265,DLVCUST0000289,2024-06-28,ZONE0012,15.86,Standard,High,1389.39
DLVORD00000266,DLVCUST0000089,2022-04-25,ZONE0004,4.44,Standard,High,3872.03
DLVORD00000267,DLVCUST0000131,2022-02-02,ZONE0005,45.61,Next Day,Urgent,4626.67
DLVORD00000268,DLVCUST0000394,2024-02-29,ZONE0012,23.47,Express,High,2006.88
DLVORD00000269,DLVCUST0000283,2023-10-18,ZONE0013,36.77,Express,Urgent,4817.88
DLVORD00000270,DLVCUST0000125,2023-09-08,ZONE0012,1.01,Standard,Urgent,4545.96
DLVORD00000271,DLVCUST0000043,2024-03-23,ZONE0012,44.48,Express,High,2578.36
DLVORD00000272,DLVCUST0000312,2022-01-25,ZONE0018,31.31,Same Day,High,1258.66
DLVORD00000273,DLVCUST0000260,2024-02-28,ZONE0004,19.56,Next Day,Urgent,3664.18
DLVORD00000274,DLVCUST0000146,2023-09-06,ZONE0018,27.74,Economy,Normal,664.45
DLVORD00000275,DLVCUST0000298,2022-02-20,ZONE0015,16.97,Economy,Normal,994.5
DLVORD00000276,DLVCUST0000106,2024-10-07,ZONE0019,44.47,Economy,Urgent,576.8
DLVORD00000277,DLVCUST0000264,2023-12-03,ZONE0005,4.02,Standard,High,1491.45
DLVORD00000278,DLVCUST0000238,2022-05-02,ZONE0005,12.62,Standard,High,4439.18
DLVORD00000279,DLVCUST0000390,2022-05-02,ZONE0003,48.67,Standard,Normal,1445.93
DLVORD00000280,DLVCUST0000308,2024-07-04,ZONE0008,2.01,Standard,Normal,2755.36
